PLACEHOLDER_CLIENT_ID|CLIENT|/data/ucov/repro/spark/Clients/jonathanjma/Megamaze|/src/main/java/org/atdp/app.java(21:16)|/src/main/java/org/atdp/app.java(21:22)|spark.Filter|SYMBOL_KIND_TYPE|SYMBOL_USE_TYPE_REFERENCE
PLACEHOLDER_CLIENT_ID|CLIENT|/data/ucov/repro/spark/Clients/jonathanjma/Megamaze|/src/main/java/org/atdp/app.java(21:24)|/src/main/java/org/atdp/app.java(24:9)|spark.Filter.handle(spark.Request,spark.Response)|SYMBOL_KIND_METHOD|SYMBOL_USE_OVERRIDING
PLACEHOLDER_CLIENT_ID|CLIENT|/data/ucov/repro/spark/Clients/jonathanjma/Megamaze|/src/main/java/org/atdp/app.java(21:24)|/src/main/java/org/atdp/app.java(24:9)|spark.Filter|SYMBOL_KIND_INTERFACE|SYMBOL_USE_IMPLEMENTATION
PLACEHOLDER_CLIENT_ID|CLIENT|/data/ucov/repro/spark/Clients/jonathanjma/Megamaze|/src/main/java/org/atdp/app.java(21:9)|/src/main/java/org/atdp/app.java(24:11)|spark.Spark.after(spark.Filter[])|SYMBOL_KIND_METHOD|SYMBOL_USE_STATIC_INVOCATION
PLACEHOLDER_CLIENT_ID|CLIENT|/data/ucov/repro/spark/Clients/jonathanjma/Megamaze|/src/main/java/org/atdp/app.java(22:13)|/src/main/java/org/atdp/app.java(22:64)|spark.Response.header(java.lang.String,java.lang.String)|SYMBOL_KIND_METHOD|SYMBOL_USE_INVOCATION
PLACEHOLDER_CLIENT_ID|CLIENT|/data/ucov/repro/spark/Clients/jonathanjma/Megamaze|/src/main/java/org/atdp/app.java(23:13)|/src/main/java/org/atdp/app.java(23:67)|spark.Response.header(java.lang.String,java.lang.String)|SYMBOL_KIND_METHOD|SYMBOL_USE_INVOCATION
PLACEHOLDER_CLIENT_ID|CLIENT|/data/ucov/repro/spark/Clients/jonathanjma/Megamaze|/src/main/java/org/atdp/app.java(26:45)|/src/main/java/org/atdp/app.java(33:9)|spark.Route.handle(spark.Request,spark.Response)|SYMBOL_KIND_METHOD|SYMBOL_USE_OVERRIDING
PLACEHOLDER_CLIENT_ID|CLIENT|/data/ucov/repro/spark/Clients/jonathanjma/Megamaze|/src/main/java/org/atdp/app.java(26:45)|/src/main/java/org/atdp/app.java(33:9)|spark.Route|SYMBOL_KIND_INTERFACE|SYMBOL_USE_IMPLEMENTATION
PLACEHOLDER_CLIENT_ID|CLIENT|/data/ucov/repro/spark/Clients/jonathanjma/Megamaze|/src/main/java/org/atdp/app.java(26:9)|/src/main/java/org/atdp/app.java(33:11)|spark.Spark.get(java.lang.String,java.lang.String,spark.Route)|SYMBOL_KIND_METHOD|SYMBOL_USE_STATIC_INVOCATION
PLACEHOLDER_CLIENT_ID|CLIENT|/data/ucov/repro/spark/Clients/jonathanjma/Megamaze|/src/main/java/org/atdp/app.java(27:13)|/src/main/java/org/atdp/app.java(27:41)|spark.Response.type(java.lang.String)|SYMBOL_KIND_METHOD|SYMBOL_USE_INVOCATION
PLACEHOLDER_CLIENT_ID|CLIENT|/data/ucov/repro/spark/Clients/jonathanjma/Megamaze|/src/main/java/org/atdp/app.java(28:43)|/src/main/java/org/atdp/app.java(28:67)|spark.Request.queryParams(java.lang.String)|SYMBOL_KIND_METHOD|SYMBOL_USE_INVOCATION
PLACEHOLDER_CLIENT_ID|CLIENT|/data/ucov/repro/spark/Clients/jonathanjma/Megamaze|/src/main/java/org/atdp/app.java(29:42)|/src/main/java/org/atdp/app.java(29:65)|spark.Request.queryParams(java.lang.String)|SYMBOL_KIND_METHOD|SYMBOL_USE_INVOCATION
PLACEHOLDER_CLIENT_ID|CLIENT|/data/ucov/repro/spark/Clients/jonathanjma/Megamaze|/src/main/java/org/atdp/app.java(30:41)|/src/main/java/org/atdp/app.java(30:63)|spark.Request.queryParams(java.lang.String)|SYMBOL_KIND_METHOD|SYMBOL_USE_INVOCATION
PLACEHOLDER_CLIENT_ID|CLIENT|/data/ucov/repro/spark/Clients/jonathanjma/Megamaze|/src/main/java/org/atdp/app.java(35:47)|/src/main/java/org/atdp/app.java(39:9)|spark.Route.handle(spark.Request,spark.Response)|SYMBOL_KIND_METHOD|SYMBOL_USE_OVERRIDING
PLACEHOLDER_CLIENT_ID|CLIENT|/data/ucov/repro/spark/Clients/jonathanjma/Megamaze|/src/main/java/org/atdp/app.java(35:47)|/src/main/java/org/atdp/app.java(39:9)|spark.Route|SYMBOL_KIND_INTERFACE|SYMBOL_USE_IMPLEMENTATION
PLACEHOLDER_CLIENT_ID|CLIENT|/data/ucov/repro/spark/Clients/jonathanjma/Megamaze|/src/main/java/org/atdp/app.java(35:9)|/src/main/java/org/atdp/app.java(39:11)|spark.Spark.get(java.lang.String,java.lang.String,spark.Route)|SYMBOL_KIND_METHOD|SYMBOL_USE_STATIC_INVOCATION
