PLACEHOLDER_CLIENT_ID|CLIENT|/data/ucov/repro/spark/Clients/elttam/sparkdemo|/src/main/java/com/example/sparkdemo/jsonutil.java(12:19)|/src/main/java/com/example/sparkdemo/jsonutil.java(12:37)|spark.ResponseTransformer|SYMBOL_KIND_TYPE|SYMBOL_USE_TYPE_REFERENCE
PLACEHOLDER_CLIENT_ID|CLIENT|/data/ucov/repro/spark/Clients/elttam/sparkdemo|/src/main/java/com/example/sparkdemo/notecontroller.java(10:26)|/src/main/java/com/example/sparkdemo/notecontroller.java(12:9)|spark.Route.handle(spark.Request,spark.Response)|SYMBOL_KIND_METHOD|SYMBOL_USE_OVERRIDING
PLACEHOLDER_CLIENT_ID|CLIENT|/data/ucov/repro/spark/Clients/elttam/sparkdemo|/src/main/java/com/example/sparkdemo/notecontroller.java(10:26)|/src/main/java/com/example/sparkdemo/notecontroller.java(12:9)|spark.Route|SYMBOL_KIND_INTERFACE|SYMBOL_USE_IMPLEMENTATION
PLACEHOLDER_CLIENT_ID|CLIENT|/data/ucov/repro/spark/Clients/elttam/sparkdemo|/src/main/java/com/example/sparkdemo/notecontroller.java(10:9)|/src/main/java/com/example/sparkdemo/notecontroller.java(12:19)|spark.Spark.get(java.lang.String,spark.Route,spark.ResponseTransformer)|SYMBOL_KIND_METHOD|SYMBOL_USE_STATIC_INVOCATION
PLACEHOLDER_CLIENT_ID|CLIENT|/data/ucov/repro/spark/Clients/elttam/sparkdemo|/src/main/java/com/example/sparkdemo/notecontroller.java(11:40)|/src/main/java/com/example/sparkdemo/notecontroller.java(11:56)|spark.Request.params(java.lang.String)|SYMBOL_KIND_METHOD|SYMBOL_USE_INVOCATION
PLACEHOLDER_CLIENT_ID|CLIENT|/data/ucov/repro/spark/Clients/elttam/sparkdemo|/src/main/java/com/example/sparkdemo/notecontroller.java(14:23)|/src/main/java/com/example/sparkdemo/notecontroller.java(16:9)|spark.Route.handle(spark.Request,spark.Response)|SYMBOL_KIND_METHOD|SYMBOL_USE_OVERRIDING
PLACEHOLDER_CLIENT_ID|CLIENT|/data/ucov/repro/spark/Clients/elttam/sparkdemo|/src/main/java/com/example/sparkdemo/notecontroller.java(14:23)|/src/main/java/com/example/sparkdemo/notecontroller.java(16:9)|spark.Route|SYMBOL_KIND_INTERFACE|SYMBOL_USE_IMPLEMENTATION
PLACEHOLDER_CLIENT_ID|CLIENT|/data/ucov/repro/spark/Clients/elttam/sparkdemo|/src/main/java/com/example/sparkdemo/notecontroller.java(14:9)|/src/main/java/com/example/sparkdemo/notecontroller.java(16:19)|spark.Spark.post(java.lang.String,spark.Route,spark.ResponseTransformer)|SYMBOL_KIND_METHOD|SYMBOL_USE_STATIC_INVOCATION
PLACEHOLDER_CLIENT_ID|CLIENT|/data/ucov/repro/spark/Clients/elttam/sparkdemo|/src/main/java/com/example/sparkdemo/notecontroller.java(15:41)|/src/main/java/com/example/sparkdemo/notecontroller.java(15:50)|spark.Request.body()|SYMBOL_KIND_METHOD|SYMBOL_USE_INVOCATION
PLACEHOLDER_CLIENT_ID|CLIENT|/data/ucov/repro/spark/Clients/elttam/sparkdemo|/src/main/java/com/example/sparkdemo/notecontroller.java(18:15)|/src/main/java/com/example/sparkdemo/notecontroller.java(20:9)|spark.Filter.handle(spark.Request,spark.Response)|SYMBOL_KIND_METHOD|SYMBOL_USE_OVERRIDING
PLACEHOLDER_CLIENT_ID|CLIENT|/data/ucov/repro/spark/Clients/elttam/sparkdemo|/src/main/java/com/example/sparkdemo/notecontroller.java(18:15)|/src/main/java/com/example/sparkdemo/notecontroller.java(20:9)|spark.Filter|SYMBOL_KIND_INTERFACE|SYMBOL_USE_IMPLEMENTATION
